word,reviewed,unreviewed,rowwise_total,norm_reviewed,norm_unreviewed,norm_diff,norm_total
great,98.0,42.0,140.0,1.91,1.7,0.20999999999999996,1.85
style,84.0,56.0,140.0,1.64,2.27,-0.6300000000000001,1.85
best,107.0,32.0,139.0,2.09,1.3,0.7899999999999998,1.83
superior,77.0,62.0,139.0,1.5,2.52,-1.02,1.83
b,99.0,39.0,138.0,1.93,1.58,0.34999999999999987,1.82
large,103.0,31.0,134.0,2.01,1.26,0.7499999999999998,1.77
ekkamai,84.0,43.0,127.0,1.64,1.74,-0.10000000000000009,1.67
shared,76.0,50.0,126.0,1.48,2.03,-0.5499999999999998,1.66
soi,96.0,30.0,126.0,1.87,1.22,0.6500000000000001,1.66
bath,79.0,45.0,124.0,1.54,1.83,-0.29000000000000004,1.63
old,85.0,39.0,124.0,1.66,1.58,0.07999999999999985,1.63
high,96.0,27.0,123.0,1.87,1.1,0.77,1.62
life,79.0,44.0,123.0,1.54,1.78,-0.24,1.62
ari,101.0,21.0,122.0,1.97,0.85,1.12,1.61
mixed,71.0,50.0,121.0,1.39,2.03,-0.6399999999999999,1.59
amazing,84.0,37.0,121.0,1.64,1.5,0.1399999999999999,1.59
rooftop,97.0,23.0,120.0,1.89,0.93,0.9599999999999999,1.58
quiet,81.0,39.0,120.0,1.58,1.58,0.0,1.58
w,83.0,33.0,116.0,1.62,1.34,0.28,1.53
khaosan,90.0,25.0,115.0,1.76,1.01,0.75,1.52
brand,76.0,38.0,114.0,1.48,1.54,-0.06000000000000005,1.5
fl,91.0,22.0,113.0,1.78,0.89,0.89,1.49
stylish,89.0,23.0,112.0,1.74,0.93,0.8099999999999999,1.48
thai,73.0,38.0,111.0,1.43,1.54,-0.1100000000000001,1.46
la,97.0,12.0,109.0,1.89,0.49,1.4,1.44
rent,30.0,77.0,107.0,0.59,3.12,-2.5300000000000002,1.41
downtown,81.0,26.0,107.0,1.58,1.05,0.53,1.41
boutique,62.0,45.0,107.0,1.21,1.83,-0.6200000000000001,1.41
dmk,78.0,26.0,104.0,1.52,1.05,0.47,1.37
king,71.0,33.0,104.0,1.39,1.34,0.04999999999999982,1.37
subway,85.0,19.0,104.0,1.66,0.77,0.8899999999999999,1.37
perfect,71.0,28.0,99.0,1.39,1.14,0.25,1.3
baan,62.0,36.0,98.0,1.21,1.46,-0.25,1.29
chatuchak,71.0,24.0,95.0,1.39,0.97,0.41999999999999993,1.25
ratchada,54.0,40.0,94.0,1.05,1.62,-0.5700000000000001,1.24
days,90.0,4.0,94.0,1.76,0.16,1.6,1.24
space,58.0,35.0,93.0,1.13,1.42,-0.29000000000000004,1.23
nut,68.0,25.0,93.0,1.33,1.01,0.32000000000000006,1.23
comfortable,48.0,44.0,92.0,0.94,1.78,-0.8400000000000001,1.21
pax,71.0,21.0,92.0,1.39,0.85,0.5399999999999999,1.21
charming,66.0,25.0,91.0,1.29,1.01,0.28,1.2
terminal,75.0,16.0,91.0,1.46,0.65,0.8099999999999999,1.2
lumpini,60.0,31.0,91.0,1.17,1.26,-0.09000000000000008,1.2
link,61.0,29.0,90.0,1.19,1.18,0.010000000000000009,1.19
thong,64.0,26.0,90.0,1.25,1.05,0.19999999999999996,1.19
btsmrt,71.0,17.0,88.0,1.39,0.69,0.7,1.16
cbd,64.0,24.0,88.0,1.25,0.97,0.28,1.16
shopping,58.0,28.0,86.0,1.13,1.14,-0.010000000000000009,1.13
pratunam,57.0,29.0,86.0,1.11,1.18,-0.06999999999999984,1.13
chada,78.0,7.0,85.0,1.52,0.28,1.24,1.12
resort,42.0,43.0,85.0,0.82,1.74,-0.92,1.12
duplex,64.0,19.0,83.0,1.25,0.77,0.48,1.09
standard,37.0,46.0,83.0,0.72,1.87,-1.1500000000000001,1.09
queen,47.0,35.0,82.0,0.92,1.42,-0.4999999999999999,1.08
entire,71.0,10.0,81.0,1.39,0.41,0.98,1.07
kitchen,61.0,20.0,81.0,1.19,0.81,0.3799999999999999,1.07
cosy,64.0,17.0,81.0,1.25,0.69,0.56,1.07
swimming,52.0,29.0,81.0,1.02,1.18,-0.15999999999999992,1.07
unit,49.0,31.0,80.0,0.96,1.26,-0.30000000000000004,1.05
good,50.0,30.0,80.0,0.98,1.22,-0.24,1.05
th,57.0,23.0,80.0,1.11,0.93,0.18000000000000005,1.05
service,54.0,25.0,79.0,1.05,1.01,0.040000000000000036,1.04
single,47.0,30.0,77.0,0.92,1.22,-0.29999999999999993,1.01
rd,58.0,19.0,77.0,1.13,0.77,0.3599999999999999,1.01
furnished,31.0,45.0,76.0,0.61,1.83,-1.2200000000000002,1.0
chic,54.0,21.0,75.0,1.05,0.85,0.20000000000000007,0.99
palace,59.0,16.0,75.0,1.15,0.65,0.4999999999999999,0.99
fully,36.0,38.0,74.0,0.7,1.54,-0.8400000000000001,0.98
local,49.0,25.0,74.0,0.96,1.01,-0.050000000000000044,0.98
netflix,68.0,6.0,74.0,1.33,0.24,1.09,0.98
phrom,62.0,11.0,73.0,1.21,0.45,0.76,0.96
ekamai,45.0,28.0,73.0,0.88,1.14,-0.2599999999999999,0.96
beautiful,40.0,32.0,72.0,0.78,1.3,-0.52,0.95
palaceasok,72.0,0.0,72.0,1.41,0.0,1.41,0.95
villa,50.0,22.0,72.0,0.98,0.89,0.08999999999999997,0.95
peaceful,45.0,26.0,71.0,0.88,1.05,-0.17000000000000004,0.94
bangna,43.0,27.0,70.0,0.84,1.1,-0.2600000000000001,0.92
people,39.0,31.0,70.0,0.76,1.26,-0.5,0.92
ideo,34.0,35.0,69.0,0.66,1.42,-0.7599999999999999,0.91
c,45.0,24.0,69.0,0.88,0.97,-0.08999999999999997,0.91
