word,reviewed,unreviewed,rowwise_total,norm_reviewed,norm_unreviewed,norm_diff,norm_total
quintessential,0.0,2.0,2.0,0.0,0.08,-0.08,0.03
walkabler,2.0,0.0,2.0,0.04,0.0,0.04,0.03
poolbedcafe,2.0,0.0,2.0,0.04,0.0,0.04,0.03
mask,2.0,0.0,2.0,0.04,0.0,0.04,0.03
sphere,2.0,0.0,2.0,0.04,0.0,0.04,0.03
quitepeaceful,0.0,2.0,2.0,0.0,0.08,-0.08,0.03
walkbtsmall,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
massuk,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
pond,2.0,0.0,2.0,0.04,0.0,0.04,0.03
ladpraochokchai,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
sqmbedbath,2.0,0.0,2.0,0.04,0.0,0.04,0.03
pom,0.0,2.0,2.0,0.0,0.08,-0.08,0.03
lets,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
udelight,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
library,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
uthit,2.0,0.0,2.0,0.04,0.0,0.04,0.03
use,0.0,2.0,2.0,0.0,0.08,-0.08,0.03
pra,0.0,2.0,2.0,0.0,0.08,-0.08,0.03
vibes,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
locationnear,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
lovebangkok民宿,2.0,0.0,2.0,0.04,0.0,0.04,0.03
pratunamsiam,2.0,0.0,2.0,0.04,0.0,0.04,0.03
vichaiyut,2.0,0.0,2.0,0.04,0.0,0.04,0.03
urbitiabrdowntownbts,2.0,0.0,2.0,0.04,0.0,0.04,0.03
pplpoolwifi,2.0,0.0,2.0,0.04,0.0,0.04,0.03
pratunum,0.0,2.0,2.0,0.0,0.08,-0.08,0.03
praya,0.0,2.0,2.0,0.0,0.08,-0.08,0.03
preferred,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
local生活便利高层bts,2.0,0.0,2.0,0.04,0.0,0.04,0.03
smoking,2.0,0.0,2.0,0.04,0.0,0.04,0.03
local生活便利家庭房两卧市区btsonnut可做饭近莲花超市夜市b,2.0,0.0,2.0,0.04,0.0,0.04,0.03
premierroom,0.0,2.0,2.0,0.0,0.08,-0.08,0.03
premimum,0.0,2.0,2.0,0.0,0.08,-0.08,0.03
popular,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
snap,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
lots,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
pratunammktdoublebednrshopingarea,0.0,2.0,2.0,0.0,0.08,-0.08,0.03
psmdonmuang,2.0,0.0,2.0,0.04,0.0,0.04,0.03
vi,2.0,0.0,2.0,0.04,0.0,0.04,0.03
london,2.0,0.0,2.0,0.04,0.0,0.04,0.03
vantage,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
vanda,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
lom,2.0,0.0,2.0,0.04,0.0,0.04,0.03
prakhanong,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
lola,2.0,0.0,2.0,0.04,0.0,0.04,0.03
van,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
lookbookholiday,0.0,2.0,2.0,0.0,0.08,-0.08,0.03
lofts,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
loftnear,2.0,0.0,2.0,0.04,0.0,0.04,0.03
lorekkamainanaswimming,0.0,2.0,2.0,0.0,0.08,-0.08,0.03
vacio,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
pracha,2.0,0.0,2.0,0.04,0.0,0.04,0.03
los,2.0,0.0,2.0,0.04,0.0,0.04,0.03
lodowntownemporium,2.0,0.0,2.0,0.04,0.0,0.04,0.03
vestel,2.0,0.0,2.0,0.04,0.0,0.04,0.03
prasan,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
locker,2.0,0.0,2.0,0.04,0.0,0.04,0.03
lot,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
up免费接机,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
prestige,0.0,2.0,2.0,0.0,0.08,-0.08,0.03
pool五星级私人电梯mins,2.0,0.0,2.0,0.04,0.0,0.04,0.03
viewdaily,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
luxurybr,2.0,0.0,2.0,0.04,0.0,0.04,0.03
luxurybrmrtpool,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
poolrunning,2.0,0.0,2.0,0.04,0.0,0.04,0.03
liftpool,0.0,2.0,2.0,0.0,0.08,-0.08,0.03
luxurycity,2.0,0.0,2.0,0.04,0.0,0.04,0.03
uni,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
promenade,2.0,0.0,2.0,0.04,0.0,0.04,0.03
viewwifi,2.0,0.0,2.0,0.04,0.0,0.04,0.03
view市区btsonnut可做饭近莲花超市夜市b,2.0,0.0,2.0,0.04,0.0,0.04,0.03
song,2.0,0.0,2.0,0.04,0.0,0.04,0.03
lifenear,2.0,0.0,2.0,0.04,0.0,0.04,0.03
underground,0.0,2.0,2.0,0.0,0.08,-0.08,0.03
poolrcacentral,0.0,2.0,2.0,0.0,0.08,-0.08,0.03
villacenterdbl,2.0,0.0,2.0,0.04,0.0,0.04,0.03
songthai,2.0,0.0,2.0,0.04,0.0,0.04,0.03
udomsukbitecikea,2.0,0.0,2.0,0.04,0.0,0.04,0.03
prototype,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
provide,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
sitting,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
lighthouse,2.0,0.0,2.0,0.04,0.0,0.04,0.03
projector,2.0,0.0,2.0,0.04,0.0,0.04,0.03
project,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
princess,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
skytrainbts,0.0,2.0,2.0,0.0,0.08,-0.08,0.03
soak,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
lps,2.0,0.0,2.0,0.04,0.0,0.04,0.03
poolwifiramarca,2.0,0.0,2.0,0.04,0.0,0.04,0.03
lum,0.0,2.0,2.0,0.0,0.08,-0.08,0.03
poolwifiasoksukhumvitbts,2.0,0.0,2.0,0.04,0.0,0.04,0.03
prince,0.0,2.0,2.0,0.0,0.08,-0.08,0.03
viewmin,2.0,0.0,2.0,0.04,0.0,0.04,0.03
liquid,2.0,0.0,2.0,0.04,0.0,0.04,0.03
soho,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
lumpinee,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
skygym,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
privatecomfy,2.0,0.0,2.0,0.04,0.0,0.04,0.03
lunar,0.0,2.0,2.0,0.0,0.08,-0.08,0.03
upbkk,2.0,0.0,2.0,0.04,0.0,0.04,0.03
lush,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
universitysilom,2.0,0.0,2.0,0.04,0.0,0.04,0.03
poolsunbathm,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
siammitr,2.0,0.0,2.0,0.04,0.0,0.04,0.03
ramabrt,2.0,0.0,2.0,0.04,0.0,0.04,0.03
ramacentral,2.0,0.0,2.0,0.04,0.0,0.04,0.03
juice,2.0,0.0,2.0,0.04,0.0,0.04,0.03
jr,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
wifibig,2.0,0.0,2.0,0.04,0.0,0.04,0.03
joy,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
monte,0.0,2.0,2.0,0.0,0.08,-0.08,0.03
monthlybrasoksukhumvitnear,2.0,0.0,2.0,0.04,0.0,0.04,0.03
joe,0.0,2.0,2.0,0.0,0.08,-0.08,0.03
phetkasemt,2.0,0.0,2.0,0.04,0.0,0.04,0.03
jk曼谷沙吞五星酒店服務式公寓二房二衛免費自助早餐免費桑拿泳池健身房兒童遊戲室,0.0,2.0,2.0,0.0,0.08,-0.08,0.03
jk曼谷沙吞五星酒店服務式公寓一房一廳免費自助早餐桑拿泳池健身房兒童遊戲室,0.0,2.0,2.0,0.0,0.08,-0.08,0.03
sleisure,2.0,0.0,2.0,0.04,0.0,0.04,0.03
monthlyfpoolbts,2.0,0.0,2.0,0.04,0.0,0.04,0.03
thonglorwifi,2.0,0.0,2.0,0.04,0.0,0.04,0.03
wifihigh,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
wifihrs,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
rayamantra,0.0,2.0,2.0,0.0,0.08,-0.08,0.03
thonglorpoolgymwifi,2.0,0.0,2.0,0.04,0.0,0.04,0.03
wifimin,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
wifimrtnear,2.0,0.0,2.0,0.04,0.0,0.04,0.03
morris,2.0,0.0,2.0,0.04,0.0,0.04,0.03
phloenchit,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
junction,0.0,2.0,2.0,0.0,0.08,-0.08,0.03
photography,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
serenity,2.0,0.0,2.0,0.04,0.0,0.04,0.03
phonimits,2.0,0.0,2.0,0.04,0.0,0.04,0.03
services,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
phonimit,2.0,0.0,2.0,0.04,0.0,0.04,0.03
kasem,0.0,2.0,2.0,0.0,0.08,-0.08,0.03
kao,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
kang,0.0,2.0,2.0,0.0,0.08,-0.08,0.03
phongsukhumvit,2.0,0.0,2.0,0.04,0.0,0.04,0.03
stationsbl日本,2.0,0.0,2.0,0.04,0.0,0.04,0.03
wide,2.0,0.0,2.0,0.04,0.0,0.04,0.03
kaew,0.0,2.0,2.0,0.0,0.08,-0.08,0.03
mojo,2.0,0.0,2.0,0.04,0.0,0.04,0.03
mok,2.0,0.0,2.0,0.04,0.0,0.04,0.03
station離bts,0.0,2.0,2.0,0.0,0.08,-0.08,0.03
ratchthewi,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
phom,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
mon,2.0,0.0,2.0,0.04,0.0,0.04,0.03
monkey,2.0,0.0,2.0,0.04,0.0,0.04,0.03
monlodge,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
phloinchit,2.0,0.0,2.0,0.04,0.0,0.04,0.03
thonglorekmai,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
thonglorekkamai,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
phasi,0.0,2.0,2.0,0.0,0.08,-0.08,0.03
wifinetflixpoolgym,2.0,0.0,2.0,0.04,0.0,0.04,0.03
secure,2.0,0.0,2.0,0.04,0.0,0.04,0.03
thomson,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
mrtarl,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
thitaree,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
iraqi,2.0,0.0,2.0,0.04,0.0,0.04,0.03
mrtbl,2.0,0.0,2.0,0.04,0.0,0.04,0.03
interior,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
mrtcenter,2.0,0.0,2.0,0.04,0.0,0.04,0.03
mrtcentral,2.0,0.0,2.0,0.04,0.0,0.04,0.03
refine,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
seasons,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
wind,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
seacon,2.0,0.0,2.0,0.04,0.0,0.04,0.03
mrtfreewifi,2.0,0.0,2.0,0.04,0.0,0.04,0.03
mrtjj,2.0,0.0,2.0,0.04,0.0,0.04,0.03
mrtkingwide,2.0,0.0,2.0,0.04,0.0,0.04,0.03
mrtlumpini,2.0,0.0,2.0,0.04,0.0,0.04,0.03
petch,0.0,2.0,2.0,0.0,0.08,-0.08,0.03
sea,0.0,2.0,2.0,0.0,0.08,-0.08,0.03
stevehouse,0.0,2.0,2.0,0.0,0.08,-0.08,0.03
semipenthouse,2.0,0.0,2.0,0.04,0.0,0.04,0.03
wifiwasher,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
wifipoolgym,2.0,0.0,2.0,0.04,0.0,0.04,0.03
motive,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
thonglorekamai,2.0,0.0,2.0,0.04,0.0,0.04,0.03
motorway,0.0,2.0,2.0,0.0,0.08,-0.08,0.03
thonglorcozy,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
stdiosqg,2.0,0.0,2.0,0.04,0.0,0.04,0.03
pharam,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
jaran,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
phak,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
jana,0.0,2.0,2.0,0.0,0.08,-0.08,0.03
mrblack,2.0,0.0,2.0,0.04,0.0,0.04,0.03
movie,0.0,2.0,2.0,0.0,0.08,-0.08,0.03
sense,0.0,2.0,2.0,0.0,0.08,-0.08,0.03
thonglofree,2.0,0.0,2.0,0.04,0.0,0.04,0.03
senanikom,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
mozart,2.0,0.0,2.0,0.04,0.0,0.04,0.03
phahonari,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
phaholyothin,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
wifircapool,2.0,0.0,2.0,0.04,0.0,0.04,0.03
mobius,2.0,0.0,2.0,0.04,0.0,0.04,0.03
kawa,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
mercure,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
pinocchio,2.0,0.0,2.0,0.04,0.0,0.04,0.03
watarun,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
shortstay,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
pinkloa,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
shortlong,2.0,0.0,2.0,0.04,0.0,0.04,0.03
mimi,2.0,0.0,2.0,0.04,0.0,0.04,0.03
minbalcony,2.0,0.0,2.0,0.04,0.0,0.04,0.03
tour,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
waterfront,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
touch,2.0,0.0,2.0,0.04,0.0,0.04,0.03
waterway,2.0,0.0,2.0,0.04,0.0,0.04,0.03
minburiwifiaircon,2.0,0.0,2.0,0.04,0.0,0.04,0.03
mingle,2.0,0.0,2.0,0.04,0.0,0.04,0.03
topview,2.0,0.0,2.0,0.04,0.0,0.04,0.03
pickup中文,2.0,0.0,2.0,0.04,0.0,0.04,0.03
ramkamhang,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
ramkamheang,0.0,2.0,2.0,0.0,0.08,-0.08,0.03
kitchenbalcony,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
kisaoo,2.0,0.0,2.0,0.04,0.0,0.04,0.03
shoppingluxury,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
pinnacle,2.0,0.0,2.0,0.04,0.0,0.04,0.03
klovely,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
kaya,0.0,2.0,2.0,0.0,0.08,-0.08,0.03
kluaynamthai,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
want,0.0,2.0,2.0,0.0,0.08,-0.08,0.03
pleasant,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
krirk,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
sqmsuite,2.0,0.0,2.0,0.04,0.0,0.04,0.03
krabang,2.0,0.0,2.0,0.04,0.0,0.04,0.03
warmcozy,2.0,0.0,2.0,0.04,0.0,0.04,0.03
plazarca,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
siammbkbts,2.0,0.0,2.0,0.04,0.0,0.04,0.03
metropolis,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
metropolitan,2.0,0.0,2.0,0.04,0.0,0.04,0.03
sripatum,0.0,2.0,2.0,0.0,0.08,-0.08,0.03
srivara,0.0,2.0,2.0,0.0,0.08,-0.08,0.03
piyavet,2.0,0.0,2.0,0.04,0.0,0.04,0.03
ramaratchada,0.0,2.0,2.0,0.0,0.08,-0.08,0.03
midst,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
midsummer,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
towerjoddfairnightwalkingmin,2.0,0.0,2.0,0.04,0.0,0.04,0.03
towerhigh,2.0,0.0,2.0,0.04,0.0,0.04,0.03
shrine,2.0,0.0,2.0,0.04,0.0,0.04,0.03
minmrt,2.0,0.0,2.0,0.04,0.0,0.04,0.03
kingdom,0.0,2.0,2.0,0.0,0.08,-0.08,0.03
tone,0.0,2.0,2.0,0.0,0.08,-0.08,0.03
ramkhamheng,2.0,0.0,2.0,0.04,0.0,0.04,0.03
phromphonginfinity,2.0,0.0,2.0,0.04,0.0,0.04,0.03
phromphongemporium,2.0,0.0,2.0,0.04,0.0,0.04,0.03
khaosandowntown,2.0,0.0,2.0,0.04,0.0,0.04,0.03
ratchadawongsawang,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
ratchaprarop,2.0,0.0,2.0,0.04,0.0,0.04,0.03
khan,2.0,0.0,2.0,0.04,0.0,0.04,0.03
mit,2.0,0.0,2.0,0.04,0.0,0.04,0.03
mitmrtairport,0.0,2.0,2.0,0.0,0.08,-0.08,0.03
phromphongdowntownemporiumsi,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
welcomehomebangkok,0.0,2.0,2.0,0.0,0.08,-0.08,0.03
welcoming,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
ratchathiwi,2.0,0.0,2.0,0.04,0.0,0.04,0.03
mk,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
phranakorn,2.0,0.0,2.0,0.04,0.0,0.04,0.03
mmin,2.0,0.0,2.0,0.04,0.0,0.04,0.03
mns,2.0,0.0,2.0,0.04,0.0,0.04,0.03
kbts,2.0,0.0,2.0,0.04,0.0,0.04,0.03
kaze,2.0,0.0,2.0,0.04,0.0,0.04,0.03
photohostel,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
tiwanon,2.0,0.0,2.0,0.04,0.0,0.04,0.03
miq_houseasok,2.0,0.0,2.0,0.04,0.0,0.04,0.03
phromphongnear,2.0,0.0,2.0,0.04,0.0,0.04,0.03
minswpoolmaxppl,0.0,2.0,2.0,0.0,0.08,-0.08,0.03
shophousegardenview,2.0,0.0,2.0,0.04,0.0,0.04,0.03
phurahong,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
wbathtubmins,2.0,0.0,2.0,0.04,0.0,0.04,0.03
shophaus,2.0,0.0,2.0,0.04,0.0,0.04,0.03
minsasoke,2.0,0.0,2.0,0.04,0.0,0.04,0.03
tomrtchinatown,2.0,0.0,2.0,0.04,0.0,0.04,0.03
tomato,2.0,0.0,2.0,0.04,0.0,0.04,0.03
minsto,2.0,0.0,2.0,0.04,0.0,0.04,0.03
khosan,2.0,0.0,2.0,0.04,0.0,0.04,0.03
shakira,0.0,2.0,2.0,0.0,0.08,-0.08,0.03
phu,2.0,0.0,2.0,0.04,0.0,0.04,0.03
mints,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
toei,2.0,0.0,2.0,0.04,0.0,0.04,0.03
phrompongnice,2.0,0.0,2.0,0.04,0.0,0.04,0.03
weeklybrasoksukhumvitnear,2.0,0.0,2.0,0.04,0.0,0.04,0.03
tm,2.0,0.0,2.0,0.04,0.0,0.04,0.03
ratchadaensuitwifi,2.0,0.0,2.0,0.04,0.0,0.04,0.03
tkf,0.0,2.0,2.0,0.0,0.08,-0.08,0.03
omnitower,2.0,0.0,2.0,0.04,0.0,0.04,0.03
hospitality,2.0,0.0,2.0,0.04,0.0,0.04,0.03
cote,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
บานยาย,0.0,2.0,2.0,0.0,0.08,-0.08,0.03
areanear,2.0,0.0,2.0,0.04,0.0,0.04,0.03
complete,0.0,2.0,2.0,0.0,0.08,-0.08,0.03
flbts,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
站,2.0,0.0,2.0,0.04,0.0,0.04,0.03
bathroomreddoorz,0.0,2.0,2.0,0.0,0.08,-0.08,0.03
bkk_blue,2.0,0.0,2.0,0.04,0.0,0.04,0.03
金东尼人妖秀,2.0,0.0,2.0,0.04,0.0,0.04,0.03
ente,2.0,0.0,2.0,0.04,0.0,0.04,0.03
bk,2.0,0.0,2.0,0.04,0.0,0.04,0.03
bathtubm,2.0,0.0,2.0,0.04,0.0,0.04,0.03
concrete,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
baanlangrak,0.0,2.0,2.0,0.0,0.08,-0.08,0.03
baanmai,0.0,2.0,2.0,0.0,0.08,-0.08,0.03
ใกลสนามบนสวรรณภม,0.0,2.0,2.0,0.0,0.08,-0.08,0.03
flbr,2.0,0.0,2.0,0.04,0.0,0.04,0.03
botanical,0.0,2.0,2.0,0.0,0.08,-0.08,0.03
flm²,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
bbed,0.0,2.0,2.0,0.0,0.08,-0.08,0.03
空中泳池花园,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
月租,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
arcadia,2.0,0.0,2.0,0.04,0.0,0.04,0.03
decorate,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
floornetflix,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
arabic,2.0,0.0,2.0,0.04,0.0,0.04,0.03
ar,2.0,0.0,2.0,0.04,0.0,0.04,0.03
condobearing,2.0,0.0,2.0,0.04,0.0,0.04,0.03
โฮเทล,0.0,2.0,2.0,0.0,0.08,-0.08,0.03
deco,0.0,2.0,2.0,0.0,0.08,-0.08,0.03
曼谷地铁汇狂站分钟,2.0,0.0,2.0,0.04,0.0,0.04,0.03
flb,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
dawn,2.0,0.0,2.0,0.04,0.0,0.04,0.03
commonwealth,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
chicstudio,2.0,0.0,2.0,0.04,0.0,0.04,0.03
baankhon,2.0,0.0,2.0,0.04,0.0,0.04,0.03
fiber曼谷中心,2.0,0.0,2.0,0.04,0.0,0.04,0.03
หอพกหญง,0.0,2.0,2.0,0.0,0.08,-0.08,0.03
artrelaxing,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
查浦特通罗,2.0,0.0,2.0,0.04,0.0,0.04,0.03
fifth,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
centerbr,2.0,0.0,2.0,0.04,0.0,0.04,0.03
artemiss,2.0,0.0,2.0,0.04,0.0,0.04,0.03
finest,2.0,0.0,2.0,0.04,0.0,0.04,0.03
deluxeroom,0.0,2.0,2.0,0.0,0.08,-0.08,0.03
bathrms,2.0,0.0,2.0,0.04,0.0,0.04,0.03
fitnes,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
บานหลงใหญ,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
flawless,2.0,0.0,2.0,0.04,0.0,0.04,0.03
bathroombaan,2.0,0.0,2.0,0.04,0.0,0.04,0.03
arlmrt,2.0,0.0,2.0,0.04,0.0,0.04,0.03
delux,2.0,0.0,2.0,0.04,0.0,0.04,0.03
ariyoutopia,0.0,2.0,2.0,0.0,0.08,-0.08,0.03
arisuite,2.0,0.0,2.0,0.04,0.0,0.04,0.03
delray,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
bkkairport,2.0,0.0,2.0,0.04,0.0,0.04,0.03
月租bts,2.0,0.0,2.0,0.04,0.0,0.04,0.03
bkk_orange,2.0,0.0,2.0,0.04,0.0,0.04,0.03
celebrity,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
brsqm,2.0,0.0,2.0,0.04,0.0,0.04,0.03
酒店式公寓双床房开间,2.0,0.0,2.0,0.04,0.0,0.04,0.03
酒店式公寓开间双床房,2.0,0.0,2.0,0.04,0.0,0.04,0.03
brsukhumvit,2.0,0.0,2.0,0.04,0.0,0.04,0.03
ensuit,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
bangnabitecon,2.0,0.0,2.0,0.04,0.0,0.04,0.03
商场,0.0,2.0,2.0,0.0,0.08,-0.08,0.03
emporium曼谷大学无边泳池健身房,0.0,2.0,2.0,0.0,0.08,-0.08,0.03
carnival,0.0,2.0,2.0,0.0,0.08,-0.08,0.03
fortune,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
brwifi,2.0,0.0,2.0,0.04,0.0,0.04,0.03
forty,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
brwifimrt,2.0,0.0,2.0,0.04,0.0,0.04,0.03
brwifimrtjodd,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
daysnightsbkkbts,2.0,0.0,2.0,0.04,0.0,0.04,0.03
環境優雅,0.0,2.0,2.0,0.0,0.08,-0.08,0.03
bl日本,2.0,0.0,2.0,0.04,0.0,0.04,0.03
found,2.0,0.0,2.0,0.04,0.0,0.04,0.03
condolette,2.0,0.0,2.0,0.04,0.0,0.04,0.03
condoluxuryyearly,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
chingcha,0.0,2.0,2.0,0.0,0.08,-0.08,0.03
cbdmins,2.0,0.0,2.0,0.04,0.0,0.04,0.03
daysf,2.0,0.0,2.0,0.04,0.0,0.04,0.03
bad,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
bed_sukhumvit_asok_bts,0.0,2.0,2.0,0.0,0.08,-0.08,0.03
fpoolgymbts,2.0,0.0,2.0,0.04,0.0,0.04,0.03
brwifipoolmrtjodd,2.0,0.0,2.0,0.04,0.0,0.04,0.03
apartmentmin,2.0,0.0,2.0,0.04,0.0,0.04,0.03
雙床,0.0,2.0,2.0,0.0,0.08,-0.08,0.03
au,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
camera,0.0,2.0,2.0,0.0,0.08,-0.08,0.03
bahtnight,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
四面佛nana酒吧街豪华bedroom,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
bai,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
บงกม,0.0,2.0,2.0,0.0,0.08,-0.08,0.03
condoladprao,0.0,2.0,2.0,0.0,0.08,-0.08,0.03
appartement,0.0,2.0,2.0,0.0,0.08,-0.08,0.03
foods,2.0,0.0,2.0,0.04,0.0,0.04,0.03
市中心现代两房,0.0,2.0,2.0,0.0,0.08,-0.08,0.03
หมบานพฤกษาวลล,0.0,2.0,2.0,0.0,0.08,-0.08,0.03
doublefive,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
บานกลางเมองลาดพราวเสนา,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
บานกลางเมอง,0.0,2.0,2.0,0.0,0.08,-0.08,0.03
fluxury,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
皇权免税店,2.0,0.0,2.0,0.04,0.0,0.04,0.03
brc,2.0,0.0,2.0,0.04,0.0,0.04,0.03
bdms,2.0,0.0,2.0,0.04,0.0,0.04,0.03
长租特惠底价最短入住天rama精品两居室无边泳池健身房火车夜市尚泰购物中心mrt,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
บางแวก,2.0,0.0,2.0,0.04,0.0,0.04,0.03
aptlumpini,2.0,0.0,2.0,0.04,0.0,0.04,0.03
一張大床,2.0,0.0,2.0,0.04,0.0,0.04,0.03
bdrpax,2.0,0.0,2.0,0.04,0.0,0.04,0.03
chinatownmrt,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
长租特惠底价最短入住天rama精品大一居室火车夜市尚泰购物中心mrtrca酒吧街,2.0,0.0,2.0,0.04,0.0,0.04,0.03
周租折,1.0,1.0,2.0,0.02,0.04,-0.02,0.03
